|GapStart_ms      |GapEnd_ms        |GapStart_UTC                 |GapEnd_UTC                   |GapDuration_sec|
|1,757,164,436,097|1,757,164,604,706|2025-09-06 16:13:56.097 +0300|2025-09-06 16:16:44.706 +0300|168.609        |
|1,757,162,451,683|1,757,162,613,947|2025-09-06 15:40:51.683 +0300|2025-09-06 15:43:33.947 +0300|162.264        |
|1,756,741,960,732|1,756,742,102,335|2025-09-01 18:52:40.732 +0300|2025-09-01 18:55:02.335 +0300|141.603        |
|1,756,516,805,240|1,756,516,945,673|2025-08-30 04:20:05.240 +0300|2025-08-30 04:22:25.673 +0300|140.433        |
|1,757,010,303,096|1,757,010,429,142|2025-09-04 21:25:03.096 +0300|2025-09-04 21:27:09.142 +0300|126.046        |
|1,757,148,862,272|1,757,148,985,792|2025-09-06 11:54:22.272 +0300|2025-09-06 11:56:25.792 +0300|123.52         |
|1,756,493,742,576|1,756,493,865,308|2025-08-29 21:55:42.576 +0300|2025-08-29 21:57:45.308 +0300|122.732        |
|1,757,165,699,178|1,757,165,819,031|2025-09-06 16:34:59.178 +0300|2025-09-06 16:36:59.031 +0300|119.853        |
|1,756,564,169,108|1,756,564,280,821|2025-08-30 17:29:29.108 +0300|2025-08-30 17:31:20.821 +0300|111.713        |
|1,757,039,851,311|1,757,039,953,617|2025-09-05 05:37:31.311 +0300|2025-09-05 05:39:13.617 +0300|102.306        |
|1,756,995,864,915|1,756,995,963,082|2025-09-04 17:24:24.915 +0300|2025-09-04 17:26:03.082 +0300|98.167         |
|1,756,716,091,211|1,756,716,189,273|2025-09-01 11:41:31.211 +0300|2025-09-01 11:43:09.273 +0300|98.062         |
|1,756,734,455,158|1,756,734,552,817|2025-09-01 16:47:35.158 +0300|2025-09-01 16:49:12.817 +0300|97.659         |
|1,756,713,628,585|1,756,713,721,804|2025-09-01 11:00:28.585 +0300|2025-09-01 11:02:01.804 +0300|93.219         |
|1,756,731,686,279|1,756,731,775,267|2025-09-01 16:01:26.279 +0300|2025-09-01 16:02:55.267 +0300|88.988         |
|1,757,041,015,084|1,757,041,101,934|2025-09-05 05:56:55.084 +0300|2025-09-05 05:58:21.934 +0300|86.85          |
|1,756,999,521,900|1,756,999,606,319|2025-09-04 18:25:21.900 +0300|2025-09-04 18:26:46.319 +0300|84.419         |
|1,756,184,804,179|1,756,184,887,786|2025-08-26 08:06:44.179 +0300|2025-08-26 08:08:07.786 +0300|83.607         |
|1,756,999,242,172|1,756,999,319,770|2025-09-04 18:20:42.172 +0300|2025-09-04 18:21:59.770 +0300|77.598         |
|1,756,294,539,524|1,756,294,616,687|2025-08-27 14:35:39.524 +0300|2025-08-27 14:36:56.687 +0300|77.163         |
|1,757,128,068,510|1,757,128,143,433|2025-09-06 06:07:48.510 +0300|2025-09-06 06:09:03.433 +0300|74.923         |
|1,757,040,252,869|1,757,040,323,670|2025-09-05 05:44:12.869 +0300|2025-09-05 05:45:23.670 +0300|70.801         |
|1,756,712,766,858|1,756,712,834,103|2025-09-01 10:46:06.858 +0300|2025-09-01 10:47:14.103 +0300|67.245         |
|1,756,702,360,151|1,756,702,425,955|2025-09-01 07:52:40.151 +0300|2025-09-01 07:53:45.955 +0300|65.804         |
|1,756,998,077,946|1,756,998,142,491|2025-09-04 18:01:17.946 +0300|2025-09-04 18:02:22.491 +0300|64.545         |
|1,757,131,122,999|1,757,131,185,543|2025-09-06 06:58:42.999 +0300|2025-09-06 06:59:45.543 +0300|62.544         |
|1,756,751,146,170|1,756,751,206,788|2025-09-01 21:25:46.170 +0300|2025-09-01 21:26:46.788 +0300|60.618         |
|1,757,010,683,095|1,757,010,740,572|2025-09-04 21:31:23.095 +0300|2025-09-04 21:32:20.572 +0300|57.477         |
|1,756,702,847,794|1,756,702,905,103|2025-09-01 08:00:47.794 +0300|2025-09-01 08:01:45.103 +0300|57.309         |
